player_name,team,is_bot,score,goals,assists,saves,shots,boost_boost_usage,boost_num_small_boosts,boost_num_large_boosts,boost_wasted_collection,boost_wasted_usage,boost_time_full_boost,boost_time_low_boost,boost_time_no_boost,boost_num_stolen_boosts,boost_average_boost_level,boost_wasted_big,boost_wasted_small,distance_ball_hit_forward,distance_ball_hit_backward,distance_time_closest_to_ball,distance_time_furthest_from_ball,distance_time_close_to_ball,distance_time_closest_to_team_center,distance_time_furthest_from_team_center,possession_possession_time,possession_turnovers,possession_turnovers_on_my_half,possession_turnovers_on_their_half,possession_won_turnovers,positional_tendencies_time_on_ground,positional_tendencies_time_low_in_air,positional_tendencies_time_high_in_air,positional_tendencies_time_in_defending_half,positional_tendencies_time_in_attacking_half,positional_tendencies_time_in_defending_third,positional_tendencies_time_in_neutral_third,positional_tendencies_time_in_attacking_third,positional_tendencies_time_behind_ball,positional_tendencies_time_in_front_ball,positional_tendencies_time_near_wall,positional_tendencies_time_in_corner,positional_tendencies_time_on_wall,averages_average_speed,averages_average_hit_distance,averages_average_distance_from_center,hit_counts_total_hits,hit_counts_total_goals,hit_counts_total_passes,hit_counts_total_saves,hit_counts_total_shots,hit_counts_total_dribbles,hit_counts_total_dribble_conts,hit_counts_total_aerials,hit_counts_total_clears,controller_is_keyboard,controller_analogue_steering_input_percent,controller_analogue_throttle_input_percent,controller_time_ballcam,controller_time_handbrake,speed_time_at_slow_speed,speed_time_at_super_sonic,speed_time_at_boost_speed,relative_positioning_time_in_front_of_center_of_mass,relative_positioning_time_behind_center_of_mass,relative_positioning_time_most_forward_player,relative_positioning_time_most_back_player,relative_positioning_time_between_players,per_possession_stats_average_duration,per_possession_stats_average_hits,per_possession_stats_count,ball_carries_total_carries,ball_carries_longest_carry,ball_carries_furthest_carry,ball_carries_total_carry_time,ball_carries_average_carry_time,ball_carries_fastest_carry_speed,ball_carries_total_carry_distance,kickoff_stats_total_kickoffs,kickoff_stats_num_time_cheat,kickoff_stats_num_time_go_to_ball,kickoff_stats_num_time_first_touch,kickoff_stats_average_boost_used,ball_carries_total_flicks,kickoff_stats_num_time_boost,kickoff_stats_num_time_afk
KrysJP,Orange,False,510,2,1,2,5,1927.1108659540787,62,15,490.6462097167969,119.50450134277344,19.575740814208984,65.8537826538086,22.152441024780273,3,47.64809799194336,471.6548767089844,18.991317749023438,39490.869453430176,4985.179931640625,48.89876174926758,67.48086547851562,27.80851936340332,46.37370300292969,38.764617919921875,49.18889648467302,6,4.0,1.0,9.0,164.92562866210938,84.51237487792969,9.333874702453613,150.2070770263672,121.19837951660156,89.60892486572266,110.94427490234375,70.85225677490234,215.0724334716797,56.3330192565918,49.0828742980957,3.159044027328491,49.0828742980957,14766.9345703125,2220.9228515625,2202.869384765625,34,1.0,7.0,2.0,5.0,6.0,6.0,11,2.0,False,1.4209375381469727,38.23172378540039,253.1837615966797,27.34150505065918,26.01097869873047,21.49216079711914,154.79144287109375,115.5992660522461,155.8061981201172,79.37451934814453,106.58954620361328,85.44139099121094,3.461221218109131,3.0,5.0,1.0,1.0816619396209717,1989.245361328125,1.0816619396209717,1.0816619396209717,14461.2109375,1989.245361328125,3,1.0,1.0,1.0,62.66666793823242,0.0,0.0,0.0
XxDominikXx10,Orange,False,408,1,2,0,5,2748.861008245393,56,21,230.98471069335938,503.4061279296875,13.380273818969727,110.0231704711914,36.040557861328125,5,40.64046096801758,228.40658569335938,2.578125,43332.059646606445,648.3599243164062,58.55082321166992,47.68107986450195,25.011594772338867,95.57050323486328,24.41860580444336,59.658357702195644,8,0.0,8.0,6.0,134.4976348876953,107.97028350830078,13.90173625946045,116.31767272949219,158.16773986816406,80.51641845703125,86.35072326660156,107.61827087402344,187.95606994628906,86.52933502197266,63.30413818359375,2.8569564819335938,63.30413818359375,16308.4814453125,2463.4794921875,1883.0614013671875,34,0.0,8.0,0.0,5.0,7.0,7.0,9,4.0,False,19.95384979248047,30.84770393371582,237.79476928710938,8.724830627441406,17.340381622314453,55.98337936401367,180.17388916015625,167.4302978515625,107.05511474609375,109.54598999023438,62.932640075683594,102.00678253173828,4.818340301513672,3.25,4.0,2.0,2.855025291442871,3046.17822265625,4.871015548706055,2.4355077743530273,15738.7744140625,4209.02880859375,3,1.0,0.0,0.0,115.79561614990234,1.0,2.0,0.0
Raaaysko,Orange,False,150,0,0,1,3,1868.2563306157845,48,13,140.72396850585938,192.56546020507812,11.86355972290039,127.29712677001953,28.600860595703125,0,37.65092468261719,136.19271850585938,4.53125,35528.290771484375,1677.9804229736328,46.454402923583984,61.515838623046875,27.244705200195312,66.48497009277344,30.642303466796875,45.494094893336296,6,1.0,3.0,6.0,160.03817749023438,89.63391876220703,18.99946403503418,144.07974243164062,136.40428161621094,76.49230194091797,121.20968627929688,82.78203582763672,215.81190490722656,64.67212677001953,42.05607223510742,2.3981690406799316,42.05607223510742,14930.67578125,1833.8453369140625,2060.826904296875,32,0.0,8.0,2.0,1.0,9.0,9.0,7,0.0,False,49.623512268066406,33.762447357177734,253.79885864257812,20.340028762817383,22.114349365234375,33.135398864746094,157.72845458984375,133.15611267089844,146.951171875,91.56351470947266,110.96183776855469,77.95868682861328,3.5762851238250732,2.857142925262451,7.0,2.0,3.1247129440307617,2492.217529296875,4.396953582763672,2.198476791381836,14486.67578125,3874.39501953125,3,1.0,2.0,0.0,58.66666793823242,1.0,0.0,0.0
marley,Blue,False,415,0,0,4,3,2309.8491853283363,41,19,548.6748046875,422.5877990722656,39.91191482543945,99.17809295654297,51.921573638916016,3,46.65251541137695,519.1707763671875,29.504005432128906,55071.38897705078,2920.2600708007812,70.72267150878906,45.832088470458984,42.299503326416016,116.69599914550781,18.09192657470703,56.753155913203955,11,7.0,4.0,10.0,126.85244750976562,119.3970947265625,17.870697021484375,183.76805114746094,96.7159652709961,133.8636474609375,92.22114562988281,54.399234771728516,194.78399658203125,85.70002746582031,78.62369537353516,4.302391529083252,78.62369537353516,16385.318359375,1873.271484375,1793.119384765625,40,0.0,1.0,3.0,3.0,9.0,9.0,20,5.0,False,5.756618976593018,77.96939849853516,259.9031066894531,58.738800048828125,17.996227264404297,66.71884155273438,178.09376525878906,159.2820587158203,121.20195770263672,146.70790100097656,111.83788299560547,21.938255310058594,3.8330230712890625,2.6666667461395264,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,59.66666793823242,0.0,0.0,0.0
Deal,Blue,False,437,0,0,4,1,2337.715815773961,50,18,235.08824157714844,303.85333251953125,14.396892547607422,126.52245330810547,51.482051849365234,2,39.21810531616211,227.2257537841797,7.862486362457275,45643.680609703064,3362.6701049804688,48.829864501953125,35.28438186645508,27.434505462646484,26.564056396484375,1.1344552040100098,60.53156038746238,8,4.0,3.0,10.0,142.9001922607422,103.00582122802734,19.09836196899414,200.7513885498047,79.7326431274414,159.24961853027344,80.06321716308594,41.17118835449219,203.89085388183594,76.59317779541016,61.92287826538086,4.09038782119751,61.92287826538086,15432.96484375,2394.30859375,1610.588623046875,33,0.0,7.0,6.0,2.0,6.0,6.0,13,4.0,False,9.230021476745605,41.64440155029297,238.43820190429688,53.98236846923828,24.983245849609375,39.479835510253906,167.56268310546875,136.87205505371094,143.61196899414062,120.01863098144531,125.2469482421875,35.21846008300781,5.780721187591553,3.6666667461395264,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,2.0,49.0,0.0,0.0,0.0
Doenoe,Blue,False,76,0,0,1,0,379.9237514783785,13,3,48.28125,19.70237159729004,13.445631980895996,15.276397705078125,0.5425847172737122,0,52.96971893310547,39.0625,9.21875,3803.869873046875,0.0,7.027499675750732,22.68976593017578,3.5432872772216797,27.292692184448242,7.63161039352417,6.267555199563503,2,2.0,0.0,0.0,72.72732543945312,19.122264862060547,1.9737915992736816,80.43949890136719,15.588006973266602,68.85099029541016,20.123367309570312,7.053149223327637,71.63078308105469,24.3967227935791,193.71177673339844,0.47607100009918213,193.71177673339844,10466.5556640625,1955.16845703125,1933.194580078125,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,6.667476177215576,9.715812683105469,273.8290710449219,6.172726631164551,33.443721771240234,4.784085750579834,38.14921188354492,35.43360900878906,60.59389877319336,13.757497787475586,43.399192810058594,38.870811462402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
