rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
supersonic-legend,22,76561198833095745,0.73,40.0,0.342,17.5,31.666,451.6,1.134,70.078,19.435,7.54,31.512,33.07,35.418,34.261,32.959,66.785,33.214,40.8,26.97,0.19,
supersonic-legend,22,76561199122369761,0.665,57.5,0.451,15.0,26.666,439.9,0.885,66.343,15.28,5.901,34.661,35.827,29.512,33.62,32.069,68.39,31.609,44.253,22.755,0.263,
supersonic-legend,22,76561198841392781,0.283,26.25,0.32,30.0,20.833,359.0,0.546,67.147,15.393,7.133,37.266,33.013,29.721,29.625,36.172,70.34,29.659,48.95,17.35,0.2,
supersonic-legend,22,76561198293532512,0.727,49.444,0.379,20.555,40.261,363.4,0.638,67.852,15.091,6.997,35.664,33.626,30.71,32.709,35.443,75.277,24.722,47.278,18.452,0.291,
supersonic-legend,22,76561198840443974,0.737,39.0,0.199,23.333,34.833,405.9,0.795,67.256,13.985,5.026,26.34,32.699,40.961,33.676,34.382,65.833,34.166,44.751,23.465,0.278,
grand-champion-3,21,76561198119286574,0.974,54.166,0.341,12.5,38.19,442.7,0.973,70.66,18.75,7.96,35.054,32.982,31.964,32.895,33.199,70.849,29.15,45.043,22.188,0.068,
grand-champion-3,21,76561198182081725,0.749,30.833,0.236,27.5,38.499,411.4,0.58,69.086,16.405,5.655,36.188,32.155,31.657,31.755,37.403,71.502,28.497,47.448,21.471,0.235,
grand-champion-3,21,76561198256402757,0.512,15.0,0.188,48.333,17.666,404.3,0.841,67.369,14.866,8.437,29.116,35.605,35.279,34.314,29.505,67.866,32.133,42.686,24.677,0.108,
grand-champion-3,21,76561198973071016,0.312,31.851,0.403,17.592,61.666,404.5,0.472,66.856,14.362,8.726,43.493,31.935,24.572,32.491,35.107,74.538,25.461,52.677,16.791,0.096,
grand-champion-3,21,76561199034220966,0.761,48.518,0.355,15.555,54.309,409.8,1.125,71.456,21.291,7.843,30.712,32.027,37.261,35.544,33.069,65.484,34.515,46.862,23.051,0.274,
grand-champion-3,21,1e7054842bd54f75b9c6ff3320ac8f30,0.382,19.629,0.15,35.185,47.499,318.0,0.77,63.878,9.678,5.643,27.371,35.585,37.044,31.252,32.862,64.349,35.65,42.935,22.053,0.152,
grand-champion-3,21,4dacf92b044847ccbab7071e365a6940,0.836,35.833,0.257,14.166,23.333,295.0,0.197,67.413,8.687,4.413,34.315,35.241,30.444,37.582,28.215,76.132,23.867,47.619,22.064,0.08,
grand-champion-3,21,76561199045943969,0.528,41.666,0.217,15.833,52.833,422.5,0.58,70.943,20.844,6.729,36.299,32.88,30.821,30.279,36.64,70.951,29.048,48.108,19.723,0.211,
grand-champion-3,21,76561198887002043,0.56,35.833,0.2,35.0,23.19,448.4,0.859,67.865,19.033,6.943,32.779,33.708,33.513,35.445,30.987,71.829,28.17,44.601,22.506,0.12,
grand-champion-3,21,76561198873867084,0.492,39.814,0.191,23.148,34.0,345.3,0.646,68.913,18.097,5.074,33.076,33.566,33.358,30.858,35.259,70.319,29.68,49.255,21.096,0.314,
grand-champion-3,21,76561198870300802,0.578,30.666,0.283,50.166,22.499,446.5,0.751,71.213,20.893,5.245,35.409,33.839,30.752,32.853,32.798,76.089,23.91,48.444,18.199,0.232,
grand-champion-3,21,76561197993003584,0.637,32.407,0.394,21.296,28.5,497.6,1.011,72.613,26.937,6.742,36.532,31.401,32.067,33.021,37.442,73.586,26.413,46.319,23.285,0.428,
