rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
champion-3,18,6939ea4c7f1c4526a8f9c3bd871c93d3,0.648,67.291,0.259,13.75,50.666,387.6,0.964,68.765,16.46,7.282,33.662,34.696,31.642,36.675,30.581,72.145,27.854,44.122,23.478,0.135,
champion-3,18,81dc7a81212f4f9994777df61f3da454,0.193,9.259,0.173,50.0,10.0,385.3,0.647,65.547,12.547,5.654,32.73,31.904,35.366,31.686,36.544,66.134,33.865,46.902,19.636,0.1,
champion-3,18,76561198368657756,0.384,22.916,0.183,25.0,12.5,441.6,0.787,69.752,20.227,3.841,30.691,35.147,34.162,34.349,33.351,69.821,30.178,44.505,22.256,0.258,
champion-3,18,7279f0eb633f4a84a36f4b7371719066,0.441,64.583,0.294,25.0,38.333,361.6,0.347,62.421,10.186,5.348,35.352,33.073,31.575,34.804,30.751,73.192,26.807,48.667,19.043,0.198,
champion-3,18,b91267661e15473c982810ffa921d1f5,0.5,22.962,0.105,28.148,16.261,336.2,0.666,61.317,8.988,4.464,31.206,34.428,34.366,33.004,32.524,68.878,31.121,48.878,19.024,0.049,
champion-3,18,fb62d1aa11a84f95b88d52187cdc92ed,0.47,40.666,0.24,24.333,39.166,334.4,0.467,62.773,8.592,6.194,35.84,34.327,29.833,36.945,30.74,71.038,28.961,45.944,18.895,0.209,
champion-3,18,76561198078858520,0.364,38.666,0.133,18.333,44.999,321.3,0.731,63.491,10.892,4.635,31.19,31.469,37.341,34.521,33.146,69.059,30.94,47.024,21.38,0.228,
champion-3,18,76561198023741596,0.275,42.857,0.108,21.428,26.666,314.1,0.629,62.1,8.239,4.897,30.49,34.907,34.603,31.868,32.086,67.456,32.543,45.026,21.995,0.116,
champion-3,18,2b4832cf9631432fbbee09c6ac33b797,0.59,32.333,0.294,12.5,25.333,350.9,0.713,64.695,10.359,5.479,31.318,33.19,35.492,37.103,30.974,73.051,26.948,45.711,22.04,0.143,
champion-3,18,4da9f1cd86e64accacd18954c6881065,0.342,12.962,0.169,40.74,11.666,323.3,0.675,65.895,10.989,5.369,38.274,30.652,31.074,30.004,38.976,72.777,27.222,46.184,21.985,0.177,
champion-3,18,76561199251970599,0.581,55.0,0.2,16.666,56.666,400.4,0.965,69.786,17.747,6.577,28.949,35.619,35.432,36.547,29.642,70.321,29.678,44.187,24.811,0.256,
champion-3,18,76561198799692556,0.594,25.0,0.117,22.222,15.833,434.1,0.574,69.647,18.241,5.519,36.841,31.525,31.634,32.465,35.812,73.5,26.499,49.599,17.798,0.146,
champion-3,18,76561198809237870,0.48,23.333,0.259,17.833,31.666,395.3,0.6,69.517,17.556,4.606,34.346,32.555,33.099,30.013,36.182,71.629,28.37,47.913,21.287,0.12,
champion-3,18,76561198033683174,0.568,48.888,0.282,27.592,48.166,390.6,0.53,70.147,19.165,6.31,32.051,31.31,36.639,36.016,32.818,69.015,30.984,51.452,17.484,0.235,
champion-3,18,76561198095866683,0.252,12.777,0.231,24.444,21.666,316.2,0.155,63.0,10.141,3.183,36.658,34.437,28.905,28.45,35.452,71.937,28.062,55.639,12.995,0.059,
champion-3,18,76561198344539822,0.433,38.333,0.348,25.0,35.666,375.9,0.365,64.96,12.39,6.852,32.575,33.82,33.605,34.661,32.854,70.29,29.709,53.637,16.479,0.15,
champion-3,18,e28aae86c534470ab35298905e14fc8f,0.695,55.0,0.413,12.5,25.44,450.8,0.726,70.539,20.475,6.859,33.111,31.683,35.206,38.93,30.616,74.704,25.295,46.6,22.365,0.327,
champion-3,18,2afa963f40e948fd8c4ffa2dd9e54a8a,0.398,20.833,0.155,13.333,22.499,317.9,0.434,66.608,10.825,4.931,37.212,32.531,30.257,30.457,37.38,74.712,25.287,47.906,18.468,0.146,
champion-3,18,93f6cbc894f94fb1af196a44431cb2cb,0.457,24.166,0.128,29.166,32.499,281.6,0.428,63.6,10.248,4.041,32.325,32.442,35.233,31.185,34.663,71.603,28.396,47.347,21.726,0.085,
champion-3,18,76561198052083138,0.245,4.166,0.403,29.166,5.0,262.6,0.368,57.682,4.897,4.137,35.098,31.167,33.735,33.146,34.423,70.929,29.07,51.737,18.66,0.04,
champion-3,18,PRI_XxblazexX,0.353,21.296,0.179,38.888,30.0,300.3,0.626,61.313,11.622,5.458,28.654,33.997,37.349,35.902,27.882,69.16,30.839,43.494,24.062,0.136,
champion-3,18,76561198013312084,0.487,34.259,0.17,23.148,40.0,367.9,0.462,67.069,12.501,5.528,37.898,30.172,31.93,25.967,42.688,70.974,29.025,49.115,19.512,0.311,
champion-3,18,76561198841870298,0.552,32.0,0.201,35.666,36.333,399.0,0.623,69.095,17.577,2.987,31.141,34.133,34.726,30.71,34.823,70.833,29.166,50.461,19.524,0.122,
champion-3,18,76561198338441172,0.549,52.5,0.46,20.833,33.666,452.7,0.776,72.999,22.133,6.977,27.883,36.165,35.952,38.624,29.456,70.27,29.729,47.93,22.391,0.313,
champion-3,18,888b06daff684cb7a4c07242de357a1a,0.445,41.666,0.158,9.629,41.666,319.1,0.562,62.678,9.096,2.98,32.452,32.881,34.667,33.813,32.432,69.449,30.55,49.324,20.776,0.372,
champion-2,17,76561199063901441,0.432,36.5,0.291,29.833,41.5,372.8,0.726,66.126,12.701,5.902,32.64,34.821,32.539,32.866,33.301,71.529,28.47,42.268,23.219,0.14,
champion-2,17,0432c36c078b47b4835ff66e1b1f22c1,0.577,34.333,0.18,27.666,30.833,377.5,0.916,67.908,14.35,6.58,30.597,33.331,36.072,32.873,31.852,67.411,32.588,41.631,24.558,0.238,
champion-2,17,db6fea08582b4853b80ee7866666d567,0.607,31.166,0.18,29.5,24.833,355.7,0.692,66.217,14.739,4.481,35.791,31.118,33.091,33.295,34.93,72.985,27.014,44.003,22.08,0.12,
champion-2,17,dfbd99db28254cd5818933b1e3016568,0.401,30.0,0.161,30.0,24.166,324.6,0.591,64.539,11.208,5.812,31.596,36.87,31.534,35.928,29.779,70.631,29.368,46.451,22.396,0.106,
champion-2,17,76561197967241903,0.415,23.333,0.237,27.5,39.999,316.5,0.537,64.63,9.997,5.754,34.052,34.052,31.896,35.174,34.113,72.258,27.741,49.53,19.383,0.216,
champion-2,17,b98c9d4b0b27421e90a5b65c0d867d17,0.417,29.166,0.175,22.5,34.999,375.6,0.743,68.2,13.918,4.863,34.955,30.135,34.91,30.53,38.66,68.149,31.85,46.545,23.468,0.166,
champion-2,17,7e0b00c53d224942b887fe69058c5805,0.445,36.458,0.211,6.25,29.5,343.5,0.787,63.613,8.335,4.319,31.115,30.526,38.359,37.798,29.281,69.002,30.997,43.117,22.106,0.275,
champion-2,17,e3abe7d20f984411b941f2d7a5ca8295,0.55,54.814,0.233,20.37,29.285,356.6,0.546,63.926,12.164,4.094,31.936,36.745,31.319,32.009,34.086,70.417,29.582,47.682,20.982,0.133,
champion-2,17,46f39c0d537a4b9ebfa231923ee50606,0.335,19.259,0.197,26.666,28.333,325.9,0.374,63.391,8.551,4.138,36.436,33.007,30.557,30.64,36.858,74.414,25.585,49.422,19.861,0.137,
champion-2,17,2661c5f543564475a5b2262304a7cbfc,0.418,58.75,0.267,15.416,37.499,358.8,0.491,65.539,12.665,5.847,30.229,32.556,37.215,34.248,30.701,68.014,31.985,50.238,18.668,0.151,
champion-2,17,76561198083983944,0.469,37.0,0.244,17.0,27.023,384.2,0.545,68.63,15.775,2.933,34.448,30.972,34.58,32.272,37.251,69.983,30.016,50.674,19.718,0.159,
champion-2,17,6f6a4f0631ca4bd08b1a5f92ac937823,0.333,28.333,0.146,12.5,39.5,384.3,0.349,65.378,12.751,4.263,38.356,32.675,28.969,32.917,35.139,74.946,25.053,55.925,16.314,0.198,
champion-2,17,76561198271874767,0.336,13.888,0.274,15.74,22.0,249.9,0.492,58.521,6.194,4.685,34.021,27.235,38.744,34.456,38.019,67.343,32.656,49.26,20.839,0.034,
champion-2,17,33ec402e98ed40a3b4c30861c29077bd,0.598,45.37,0.215,27.777,28.999,319.9,0.355,62.373,8.723,6.062,37.485,31.724,30.791,32.571,34.408,75.119,24.88,51.022,19.394,0.114,
champion-2,17,29e9dd189fde4a0780dab6c471bed774,0.481,17.5,0.092,36.666,20.833,357.2,0.449,64.9,10.006,5.624,31.292,33.688,35.02,32.771,35.208,69.515,30.484,48.132,19.741,0.096,
champion-2,17,piyopiyo-tyannnn,0.489,34.0,0.175,14.5,34.833,370.5,0.663,65.269,11.834,5.468,30.07,34.354,35.576,34.269,30.55,69.165,30.834,46.747,23.462,0.157,
champion-2,17,f4b98fa04b9a409ebd2d243e82f3a004,0.699,51.851,0.302,21.666,40.095,427.2,0.698,65.369,14.745,5.473,34.811,35.134,30.055,36.665,27.683,73.653,26.346,49.733,20.105,0.115,
champion-2,17,a0a911268bd44e2d9d3148423a8da99c,0.31,24.629,0.15,25.925,48.333,399.3,0.882,67.617,15.608,3.263,27.466,32.998,39.536,28.89,38.132,64.929,35.07,45.363,25.075,0.238,
champion-2,17,76561198078261876,0.398,20.333,0.204,9.0,22.499,437.1,0.608,68.308,16.263,4.654,39.241,32.68,28.079,28.755,38.201,72.799,27.2,52.113,16.396,0.124,
champion-2,17,76561198257963632,0.391,33.125,0.099,13.541,35.333,374.2,0.734,65.63,12.921,5.076,34.419,31.444,34.137,30.653,36.058,68.269,31.73,47.036,20.251,0.243,
champion-2,17,76561199012476118,0.62,34.0,0.291,42.333,35.666,414.2,0.724,69.717,18.672,6.156,33.049,31.408,35.543,38.078,30.159,70.432,29.567,44.231,22.545,0.421,
champion-2,17,76561198141228086,0.478,21.25,0.176,20.833,27.5,459.0,0.848,70.186,19.777,5.009,34.673,32.425,32.902,32.459,34.307,73.387,26.612,48.902,20.974,0.134,
champion-2,17,76561199058627343,0.523,35.0,0.332,45.833,28.666,261.8,0.346,59.295,5.492,3.316,31.244,33.487,35.269,32.935,34.649,65.762,34.237,47.438,19.214,0.17,
champion-2,17,5f8aeda7a2f7412ea924502b850befe6,0.407,47.5,0.228,17.5,40.666,418.2,0.975,64.113,11.093,5.25,31.117,32.916,35.967,36.057,32.65,68.515,31.484,45.369,24.869,0.14,
champion-2,17,76561198026162893,0.322,24.166,0.287,30.0,29.999,327.6,0.643,63.273,9.0,4.249,38.759,31.005,30.236,33.65,33.893,70.414,29.585,52.089,17.693,0.157,
champion-2,17,7ad70634c7c84727b5edf5140297e2ca,0.353,36.111,0.293,17.592,20.833,368.2,0.658,63.017,10.143,3.539,34.656,33.697,31.647,33.135,32.042,72.002,27.997,47.613,23.285,0.143,
champion-2,17,76561198971969411,0.777,54.629,0.303,11.111,29.0,463.6,1.029,69.508,19.584,5.094,32.14,32.616,35.244,35.508,33.243,71.23,28.769,42.795,25.042,0.173,
champion-2,17,76561197983614206,0.559,26.0,0.231,15.333,16.333,284.2,0.587,61.156,5.943,5.267,36.452,32.435,31.113,31.322,35.048,71.307,28.692,46.452,22.122,0.031,
champion-2,17,76561198112771007,0.38,36.111,0.3,15.925,22.666,302.6,0.199,61.226,7.163,5.146,43.918,32.452,23.63,30.219,38.391,75.256,24.743,56.886,15.552,0.14,
champion-2,17,76561198109494802,0.635,56.296,0.194,0.0,47.666,322.5,0.588,63.291,8.645,5.646,29.097,34.988,35.915,32.561,31.293,66.32,33.679,44.8,21.205,0.151,
champion-1,16,b40690cef4010900,0.81,63.703,0.22,15.555,36.75,420.4,0.886,70.908,16.318,3.475,29.347,32.88,37.773,33.603,33.304,67.891,32.108,43.456,24.642,0.275,
champion-1,16,76561199075998902,0.396,33.333,0.155,27.5,40.833,421.7,0.791,64.982,11.245,4.412,27.32,31.789,40.891,36.301,30.219,67.573,32.426,44.61,23.972,0.096,
champion-1,16,752e8af4aa4a43509dd61af4322a201a,0.428,15.555,0.373,28.518,15.833,391.6,0.607,67.269,15.747,3.9,34.706,30.001,35.293,35.582,32.554,71.542,28.457,49.984,20.941,0.193,
champion-1,16,76561198027654621,0.436,53.333,0.24,11.666,42.333,294.7,0.478,64.26,9.24,3.096,32.971,31.1,35.929,32.98,34.943,69.711,30.288,51.693,19.989,0.138,
champion-1,16,MidnaZG,0.489,23.333,0.195,29.166,19.5,423.1,0.86,69.913,15.925,4.637,33.573,31.06,35.367,32.653,36.404,69.824,30.175,45.751,23.054,0.274,
champion-1,16,dylanbobber,0.386,21.666,0.238,27.222,22.333,401.9,0.67,68.321,14.505,3.314,33.807,34.264,31.929,33.856,32.959,69.844,30.155,45.403,24.026,0.118,
champion-1,16,82feb54ae5a84738af4a3cd7c54a0261,0.387,40.625,0.199,25.0,19.999,365.2,0.855,68.143,16.565,3.514,31.758,34.987,33.255,35.575,33.184,71.211,28.788,45.551,23.863,0.285,
champion-1,16,76561198002949927,0.4,18.333,0.18,30.833,17.666,357.1,0.76,65.821,10.227,5.05,43.592,28.237,28.171,31.274,39.437,74.67,25.329,53.918,17.287,0.2,
champion-1,16,76561198440431302,0.481,46.875,0.36,14.583,28.333,421.0,0.954,66.756,13.448,5.339,31.837,30.297,37.866,36.417,33.413,66.638,33.361,46.722,24.337,0.133,
champion-1,16,76561198132072484,0.28,28.571,0.14,28.571,25.0,311.2,0.959,59.36,8.188,5.479,32.506,26.464,41.03,28.826,41.29,61.611,38.388,46.112,24.664,0.32,
champion-1,16,76561198989231585,0.382,32.142,0.346,8.333,22.5,288.2,0.401,61.913,8.318,5.792,33.37,32.782,33.848,32.672,36.128,72.108,27.891,45.937,20.531,0.033,
champion-1,16,76561198989485137,0.6,49.166,0.3,14.166,33.0,392.9,0.7,67.347,17.205,7.687,34.104,31.638,34.258,37.367,32.229,73.786,26.213,49.098,22.034,0.179,
champion-1,16,8e2e29dd108645d899a5b99cfae78e00,0.356,19.166,0.2,10.0,17.5,396.3,0.669,67.647,14.603,5.042,28.885,35.406,35.709,32.322,33.786,68.56,31.439,42.221,23.786,0.1,
champion-1,16,b7fde496027b4ea4858da3b6e60bfe65,0.332,15.0,0.069,12.5,14.999,232.2,0.372,58.756,3.749,1.654,41.77,31.67,26.56,26.171,38.271,77.461,22.538,48.931,18.089,0.02,
champion-1,16,76561199020740329,0.572,59.583,0.256,14.375,35.666,385.9,0.585,67.817,17.544,5.982,33.77,35.875,30.355,38.992,28.692,71.907,28.092,46.441,21.03,0.275,
champion-1,16,c32796b08c194a80b4c9da346768d7a5,0.34,29.047,0.239,14.047,29.999,402.4,0.678,68.086,13.134,3.683,35.777,32.81,31.413,31.267,35.73,69.75,30.249,45.908,22.719,0.1,
champion-1,16,2b9d4d00ee084447ba983a6be29e2db0,0.475,25.666,0.315,40.666,20.333,381.0,0.753,64.247,11.046,4.868,32.164,34.073,33.763,39.336,27.249,70.753,29.246,48.834,21.13,0.18,
champion-1,16,CloudyHabitz,0.566,37.777,0.159,8.518,39.833,315.9,0.584,61.839,11.076,5.277,41.821,27.834,30.345,26.444,45.743,74.693,25.306,51.683,17.988,0.166,
champion-1,16,76561198435428420,0.554,54.687,0.238,28.645,44.999,324.3,0.637,64.865,9.825,4.236,31.342,34.686,33.972,31.649,35.253,70.646,29.353,44.715,21.31,0.08,
champion-1,16,76561198158841725,0.517,50.0,0.199,8.333,41.19,335.3,0.798,66.886,13.879,4.136,35.95,30.74,33.31,31.908,37.73,71.311,28.688,51.11,20.238,0.339,
champion-1,16,99de0b0f00000900,0.38,9.791,0.26,38.333,10.833,310.1,0.52,63.83,10.306,2.634,34.464,32.499,33.037,30.546,36.519,70.733,29.266,48.977,19.278,0.02,
champion-1,16,76561198318145263,0.385,42.592,0.227,0.0,29.761,309.5,0.696,61.7,7.208,2.783,27.175,33.723,39.102,34.898,30.719,66.165,33.834,45.952,20.946,0.107,
champion-1,16,76561198288821335,0.418,12.5,0.133,40.0,16.19,316.8,0.552,62.969,9.327,3.815,37.914,30.203,31.883,30.196,37.821,72.481,27.518,48.288,20.011,0.14,
champion-1,16,frei-Wolf4,0.529,42.176,0.237,7.142,27.333,331.6,0.641,63.834,13.974,6.187,36.599,31.8,31.601,32.699,37.923,74.524,25.475,51.9,21.278,0.154,
champion-1,16,76561198086512000,0.46,35.396,0.219,30.396,54.666,289.0,0.44,58.917,7.013,1.44,35.21,34.606,30.184,34.055,29.747,77.21,22.789,50.037,19.767,0.16,
champion-1,16,76561198111422637,0.406,38.518,0.186,24.444,58.0,385.2,0.664,67.513,14.902,2.843,28.645,34.245,37.11,35.606,28.733,70.355,29.644,49.263,23.125,0.316,
champion-1,16,5d05aa42882fed6a,0.563,33.333,0.08,16.666,20.833,370.4,0.606,63.904,7.699,5.234,27.777,34.289,37.934,35.581,30.023,66.836,33.163,41.287,27.029,0.218,
champion-1,16,d2990518ce8548f89a84ea6452afd68d,0.418,31.481,0.16,18.518,38.333,280.4,0.225,61.943,7.938,2.88,37.576,31.577,30.847,31.565,35.288,72.154,27.845,46.934,19.196,0.038,
champion-1,16,e5b364aeee1f4ccbbb53f55d078cded6,0.538,39.166,0.397,3.333,37.666,409.3,0.567,67.752,15.238,5.169,35.534,32.108,32.358,35.057,33.778,75.304,24.695,52.862,18.378,0.164,
champion-1,16,7021eca411754a7298ddf30a9ef373c4,0.549,40.333,0.276,33.0,30.928,476.2,0.733,71.626,20.752,6.829,33.821,31.671,34.508,39.104,31.68,72.764,27.235,47.576,23.008,0.118,
diamond-3,15,82c2907127974698a71ec725ebeca904,0.639,51.357,0.2,16.5,30.499,388.4,0.64,65.526,12.387,2.469,39.478,32.32,28.202,33.465,36.744,75.291,24.708,50.919,17.421,0.199,
diamond-3,15,60074cd8e4c3462eb2bfb8439e12b86a,0.179,5.0,0.148,25.0,5.0,333.5,0.536,61.026,8.538,3.589,39.135,28.743,32.122,29.035,39.443,74.373,25.626,49.27,19.626,0.144,
diamond-3,15,d62fe771fa010900,0.61,34.166,0.38,22.5,41.833,430.6,0.873,67.2,14.756,7.424,31.25,29.807,38.943,41.657,30.91,71.912,28.087,46.363,22.481,0.1,
diamond-3,15,76561198151361242,0.436,35.0,0.274,27.5,37.833,386.0,0.623,67.53,15.749,4.146,29.753,36.2,34.047,35.688,28.962,69.82,30.179,46.235,22.981,0.202,
diamond-3,15,47f58b51b8c84adaad0bea806822f0bb,0.232,31.481,0.215,20.37,38.333,322.2,0.445,58.095,7.558,3.454,44.949,30.246,24.805,30.361,39.142,78.153,21.846,55.181,16.105,0.116,
diamond-3,15,ef945dd12d444cadbee2e2c9afc224ad,0.48,36.0,0.114,12.833,36.785,343.8,0.646,66.395,10.821,3.679,36.979,31.404,31.617,30.71,36.9,72.809,27.19,51.211,18.631,0.23,
diamond-3,15,76561198443744218,0.565,45.185,0.149,9.259,31.023,288.3,0.279,62.704,7.975,3.153,34.652,33.411,31.937,31.782,34.2,71.446,28.553,48.319,22.534,0.2,
diamond-3,15,76561198129414016,0.514,54.444,0.243,29.629,49.333,314.6,0.66,60.926,9.779,2.657,28.944,38.274,32.782,36.409,27.855,70.737,29.262,48.623,20.899,0.075,
diamond-3,15,SoareSamuel,0.312,16.111,0.195,16.111,25.0,235.9,0.781,56.943,6.189,2.928,36.082,26.025,37.893,26.056,44.486,68.485,31.514,46.977,25.1,0.097,
diamond-3,15,inSaneXpLiciTe,0.228,15.185,0.113,32.592,21.666,337.7,0.781,64.913,11.012,4.255,30.164,33.611,36.225,33.599,32.513,69.019,30.98,46.919,20.63,0.108,
diamond-3,15,76561198191312117,0.433,48.333,0.168,16.666,42.499,312.3,0.815,65.573,10.251,3.961,37.058,31.989,30.953,30.255,37.772,72.448,27.551,47.905,18.87,0.19,
diamond-3,15,MikeWazovskiii,0.46,57.916,0.24,9.166,50.833,298.3,0.5,61.421,7.227,2.155,31.239,34.43,34.331,32.995,32.886,69.514,30.485,49.219,22.676,0.1,
diamond-3,15,Dorasis,0.387,35.833,0.187,20.0,45.833,438.8,1.169,69.299,17.89,3.597,26.86,28.094,45.046,35.363,32.394,62.942,37.057,43.39,24.487,0.347,
diamond-3,15,d811d5f9fc010900,0.289,29.166,0.262,18.333,40.0,377.5,0.731,62.5,11.436,3.216,27.954,34.419,37.627,36.737,29.554,66.509,33.49,45.148,25.792,0.079,
diamond-3,15,603e0f0b68754ddba5d22485fc1c7537,0.199,17.708,0.239,0.0,30.0,393.0,0.879,65.647,11.455,3.683,31.149,31.464,37.387,33.784,33.916,67.813,32.186,48.176,23.125,0.459,
diamond-3,15,Daniel96PS,0.451,19.791,0.309,15.625,15.833,175.3,0.214,53.852,3.359,2.556,36.139,32.99,30.871,34.798,30.634,73.647,26.352,54.614,17.503,0.04,
diamond-3,15,560ab913c3b54cc28a248235c375bb9f,0.383,36.458,0.171,22.916,38.666,379.3,0.69,59.699,6.788,3.703,30.176,34.344,35.48,33.135,31.085,67.838,32.161,47.165,21.987,0.32,
diamond-3,15,d6a70b02beb542fa9bd5d86d96892d6e,0.449,30.166,0.306,15.333,43.666,246.6,0.317,57.586,5.161,3.068,41.952,29.076,28.972,29.245,40.839,79.092,20.907,52.881,17.499,0.074,
diamond-3,15,76561198260916789,0.407,43.333,0.235,17.5,54.999,380.6,0.655,65.434,12.268,4.05,33.665,33.897,32.438,31.446,33.762,73.886,26.113,48.027,21.586,0.1,
diamond-3,15,jefemaestro_one,0.54,33.333,0.34,25.0,24.333,352.8,0.6,64.93,11.891,5.813,34.715,30.071,35.214,38.894,29.841,72.621,27.378,52.561,21.178,0.1,
diamond-3,15,9eadf28fad6645289ed8d6ab23efcc75,0.403,33.333,0.269,7.407,24.999,295.4,0.826,59.952,6.573,4.157,35.642,31.256,33.102,34.464,34.286,74.159,25.84,51.445,18.856,0.202,
diamond-3,15,76561198065352978,0.4,23.809,0.131,11.904,20.333,378.7,0.953,64.182,11.98,4.144,30.396,31.922,37.682,34.607,34.252,67.506,32.493,41.321,27.11,0.211,
diamond-3,15,76561198860071206,0.437,19.444,0.195,27.777,10.333,314.9,0.557,62.83,8.777,3.731,33.326,34.666,32.008,34.44,31.491,71.895,28.104,42.222,24.559,0.2,
diamond-3,15,70494707f9010900,0.406,40.952,0.235,16.666,34.166,379.7,0.572,66.426,13.517,4.142,41.356,29.259,29.385,29.586,39.153,73.889,26.11,47.137,21.819,0.27,
diamond-3,15,76561198189794534,0.435,30.0,0.236,14.666,33.333,321.5,0.48,60.278,7.949,3.531,37.432,30.799,31.769,29.625,38.968,72.187,27.812,51.196,18.774,0.153,
diamond-3,15,02f9d7dc25b44f5a87884bdfee413f14,0.522,14.814,0.252,18.518,14.444,393.7,0.814,67.369,13.766,4.955,30.098,33.866,36.036,37.363,30.906,70.796,29.203,49.115,20.447,0.132,
diamond-3,15,76561198117514697,0.38,33.333,0.179,17.777,27.499,424.6,0.5,68.169,13.853,5.944,34.829,30.368,34.803,33.368,36.013,70.874,29.125,51.221,21.084,0.14,
diamond-3,15,7356a58431f9429fba0de1f55a58056f,0.427,35.37,0.257,25.74,41.666,366.8,0.33,64.269,9.59,2.089,37.426,29.492,33.082,30.558,36.727,74.005,25.994,51.296,19.348,0.115,
diamond-3,15,60d46510903d45bf922dbb7958e6356b,0.532,40.833,0.193,2.5,27.499,272.7,0.426,61.182,7.222,2.992,43.09,29.226,27.684,30.423,39.484,77.913,22.086,52.419,17.901,0.11,
diamond-3,15,33076c0000000900,0.334,40.833,0.229,15.0,60.333,291.7,0.568,62.278,7.384,2.634,32.963,29.803,37.234,33.488,36.043,69.832,30.167,49.679,22.298,0.254,
diamond-2,14,2070b0a2f8a742c0b187882691bb2789,0.592,55.303,0.159,9.545,44.999,339.3,0.371,61.76,8.699,1.99,30.594,34.28,35.126,38.338,29.824,72.413,27.586,45.681,23.034,0.136,
diamond-2,14,76561198062756618,0.455,39.0,0.161,18.333,36.666,310.3,0.509,64.082,8.925,2.279,31.143,33.289,35.568,29.748,37.906,69.265,30.734,47.37,19.515,0.166,
diamond-2,14,7a546367b1a040019eedd7040785c941,0.24,20.37,0.257,22.222,20.0,352.7,0.582,62.204,10.399,4.889,38.539,29.878,31.583,32.162,38.341,73.536,26.463,49.518,21.461,0.188,
diamond-2,14,a066d20500000900,0.521,20.37,0.189,20.37,14.166,351.5,0.646,62.86,8.507,2.688,27.955,35.313,36.732,38.287,27.428,70.804,29.195,46.317,25.4,0.192,
diamond-2,14,76561198260877908,0.418,35.185,0.29,25.0,28.333,289.3,0.283,59.282,6.281,3.513,38.41,32.443,29.147,34.431,32.827,72.415,27.584,50.33,18.657,0.02,
diamond-2,14,76561198124590636,0.499,42.592,0.273,22.222,38.333,307.4,0.725,60.547,6.389,4.894,31.201,32.07,36.729,33.538,34.144,67.833,32.166,49.12,20.172,0.14,
diamond-2,14,76561198048425690,0.293,21.296,0.1,2.777,30.0,331.9,0.551,63.539,11.735,2.477,36.844,31.543,31.613,34.602,33.326,72.424,27.575,52.975,19.04,0.213,
diamond-2,14,76561198069041332,0.48,31.481,0.38,20.37,25.833,303.4,0.52,61.152,8.526,3.463,31.564,36.418,32.018,35.046,29.373,71.759,28.24,51.648,19.051,0.06,
diamond-2,14,0927a72ee6054fbe8d5ec0faf32017bb,0.479,27.5,0.289,29.166,30.166,332.8,0.65,61.06,10.783,3.221,41.715,29.063,29.222,31.231,38.484,77.642,22.357,51.421,17.492,0.134,
diamond-2,14,76561198010628911,0.557,22.916,0.131,23.75,11.666,335.3,0.513,62.291,9.043,3.8,29.745,36.449,33.806,31.106,33.581,71.017,28.982,47.844,20.95,0.111,
diamond-2,14,76561198002444526,0.521,47.5,0.164,33.333,41.666,289.2,0.413,61.73,7.527,1.091,29.683,34.262,36.055,35.078,31.546,72.308,27.691,52.974,17.205,0.184,
diamond-2,14,48deac376d5e4d03b0d4426736b6ece4,0.399,36.666,0.22,18.333,39.166,389.3,0.539,65.326,13.476,2.448,34.442,31.019,34.539,31.193,38.82,70.728,29.271,54.626,16.646,0.119,
diamond-2,14,76561198076511548,0.391,29.629,0.271,37.037,36.999,379.5,0.332,62.013,7.896,1.597,33.022,36.408,30.57,33.542,30.007,76.034,23.965,52.534,16.507,0.02,
diamond-2,14,76561198100194278,0.452,26.851,0.197,3.703,39.166,297.1,1.027,62.026,11.337,1.974,40.948,26.037,33.015,29.831,42.699,73.334,26.665,54.101,20.301,0.093,
diamond-2,14,aki84uko_,0.276,5.0,0.127,8.333,5.0,435.1,0.991,71.36,18.787,3.337,31.859,29.61,38.531,29.259,41.424,64.786,35.213,47.115,23.91,0.383,
diamond-2,14,76561198347430597,0.367,34.259,0.213,8.333,29.333,259.7,0.637,58.234,8.465,3.816,41.23,28.947,29.823,28.241,38.761,74.974,25.025,56.373,18.434,0.0,
diamond-2,14,92a599e1f0fc4c71bc6f047d77721961,0.512,25.37,0.084,22.222,15.166,290.2,0.261,62.291,6.963,3.192,31.764,32.525,35.711,32.93,35.11,69.299,30.7,49.528,20.203,0.06,
diamond-2,14,46ea1f9f9d444caba54e2f4a41386cc4,0.513,35.833,0.16,6.666,27.952,262.4,0.599,57.708,6.103,1.453,30.515,33.851,35.634,31.001,34.642,68.368,31.631,49.314,18.536,0.14,
diamond-2,14,fc213e4e47394beca4ce8acce6c43552,0.672,36.19,0.248,14.285,35.833,430.7,1.176,62.643,12.575,2.115,32.602,28.617,38.781,31.761,41.883,67.645,32.354,50.793,23.145,0.468,
diamond-2,14,1f992ebec8f849a798ba806ffe697d0f,0.336,38.333,0.169,8.333,68.333,259.7,0.265,57.626,3.978,3.02,38.861,33.81,27.329,30.753,34.387,75.819,24.18,57.222,13.271,0.113,
