rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken
supersonic-legend,22,76561198271524740,0.618,23.333,0.344,28.333,21.999,356.4,43.519,11.873,3.167,7.9,24.127,22.739,0.579,64.691,14.672,49.775,42.191,8.033,34.606,34.162,31.889,38.086,74.061,25.938,42.876,32.911,24.212,0.057,0.146
supersonic-legend,22,76561198076736523,0.739,31.481,0.26,35.185,21.666,425.3,85.28,10.88,4.22,13.372,39.133,12.039,0.7,69.956,18.583,51.997,39.875,8.126,32.437,36.097,36.947,29.935,71.293,28.706,44.052,32.211,23.735,0.14,0.1
supersonic-legend,22,76561198162286169,0.534,27.0,0.234,42.666,18.333,397.1,46.195,13.443,3.799,9.166,28.595,13.864,0.614,67.16,16.219,52.867,40.016,7.116,37.884,30.117,33.829,33.01,74.734,25.265,50.78,31.499,17.719,0.294,0.214
supersonic-legend,22,76561199022253180,0.514,27.777,0.263,16.666,22.499,471.5,67.659,10.886,4.375,18.159,40.674,8.941,1.018,67.695,15.149,53.634,39.905,6.459,30.287,36.811,33.268,32.203,67.487,32.512,42.696,33.557,23.745,0.15,0.213
supersonic-legend,22,76561198887002043,0.56,35.833,0.2,35.0,23.19,448.4,68.18,14.639,4.0,13.457,41.942,7.662,0.859,67.865,19.033,48.823,44.232,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,32.892,22.506,0.12,0.12
supersonic-legend,22,cf78e7f3566c440192a2b2dd4d957cdb,0.38,22.222,0.387,37.962,25.357,461.1,76.2,14.971,3.795,15.687,39.698,8.958,0.61,69.573,18.753,55.187,38.86,5.952,40.698,26.295,28.788,38.068,75.973,24.026,49.851,32.72,17.428,0.324,0.222
supersonic-legend,22,76561198046350719,0.393,43.333,0.209,20.0,36.666,374.7,36.578,11.216,3.417,11.427,37.725,9.628,0.292,63.56,11.048,54.726,37.273,7.999,38.929,30.456,30.543,38.35,73.204,26.795,51.467,32.869,15.662,0.232,0.252
supersonic-legend,22,76561198851511517,0.541,66.296,0.22,13.888,48.5,379.9,51.89,12.0,3.729,12.558,30.175,12.459,0.449,65.547,13.734,53.36,40.71,5.928,36.08,32.655,34.733,32.304,74.44,25.559,51.922,30.107,17.97,0.299,0.133
supersonic-legend,22,76561198879556725,0.416,25.0,0.154,40.0,14.166,422.1,80.371,12.018,4.013,16.366,39.551,15.492,0.599,67.839,16.761,60.421,33.472,6.105,30.428,37.089,33.326,33.39,67.709,32.29,45.297,35.787,18.915,0.388,0.089
supersonic-legend,22,76561198870883023,0.731,52.592,0.202,30.185,31.023,379.3,47.375,11.648,3.254,7.857,32.843,7.584,0.522,64.308,10.827,55.13,37.795,7.074,35.153,30.933,34.044,32.133,72.11,27.889,48.06,30.937,21.002,0.271,0.306
supersonic-legend,22,76561198960727776,0.736,27.777,0.288,25.0,18.166,475.5,82.835,11.914,4.737,15.963,38.689,7.209,0.952,70.643,22.633,51.489,40.391,8.119,33.772,36.728,32.691,37.055,71.461,28.538,43.849,31.599,24.551,0.214,0.288
supersonic-legend,22,76561199218624664,0.36,17.592,0.26,25.0,20.833,317.6,34.74,13.019,2.54,9.061,33.466,10.544,0.54,63.047,11.714,56.4,37.446,6.153,34.72,31.12,32.223,32.758,74.513,25.486,46.852,32.54,20.607,0.28,0.24
supersonic-legend,22,76561199087002927,0.763,50.666,0.246,22.0,43.777,381.4,37.036,11.196,3.757,9.816,31.063,13.814,0.904,68.734,15.344,48.886,44.387,6.726,30.881,36.952,38.048,29.279,71.769,28.23,48.972,28.972,22.054,0.255,0.129
supersonic-legend,22,bebb996b68284b54acfc06418d150f19,0.351,29.0,0.388,23.5,56.666,399.3,60.31,10.536,4.273,8.724,24.135,15.183,0.694,69.73,18.206,49.678,44.357,5.963,37.129,30.977,31.969,35.248,75.245,24.754,51.805,30.05,18.144,0.196,0.157
supersonic-legend,22,76561198878331891,0.773,34.0,0.302,23.5,32.638,424.3,56.389,13.502,4.125,10.841,32.276,10.93,0.728,69.826,17.458,53.832,38.826,7.34,29.631,35.919,38.759,28.228,72.796,27.203,47.064,30.847,22.088,0.233,0.076
supersonic-legend,22,88d0ec490e3e4fbb8c127bfd6dcc98e4,0.455,30.0,0.267,32.5,24.761,415.2,83.411,13.125,3.622,13.024,35.6,6.236,0.697,65.013,13.306,54.177,39.005,6.817,33.528,33.201,35.499,32.441,72.656,27.343,48.182,31.088,20.728,0.321,0.173
supersonic-legend,22,76561199018064304,0.467,21.666,0.22,19.166,20.666,416.7,99.997,12.098,3.901,13.435,36.463,11.258,0.683,69.843,22.797,59.667,34.834,5.498,37.373,32.416,29.919,35.823,74.687,25.312,47.929,32.636,19.433,0.294,0.334
supersonic-legend,22,76561197978646641,0.582,67.222,0.174,12.222,62.999,428.8,84.71,10.813,4.898,7.82,32.431,17.588,0.971,71.739,20.144,50.934,42.041,7.023,32.592,33.39,34.91,32.124,67.456,32.543,46.528,31.37,22.101,0.14,0.122
supersonic-legend,22,76561198288125714,0.639,52.777,0.363,17.592,23.499,353.5,37.987,12.895,3.556,7.274,25.466,15.999,0.598,65.052,13.738,53.469,38.934,7.596,34.021,32.066,36.308,30.476,73.643,26.356,47.597,30.995,21.406,0.163,0.223
supersonic-legend,22,76561198865483958,0.4,62.5,0.42,7.5,64.999,342.9,43.26,10.48,3.56,7.808,28.478,18.879,0.539,65.273,14.838,55.531,38.5,5.968,37.558,31.633,32.309,35.89,69.196,30.803,53.994,29.96,16.044,0.2,0.16
supersonic-legend,22,76561198219893137,0.485,51.0,0.231,13.0,57.499,445.9,111.233,15.059,3.91,8.382,26.385,9.843,0.558,72.791,24.511,58.624,36.558,4.817,40.258,26.978,30.816,34.465,78.105,21.894,52.332,29.428,18.238,0.208,0.259
supersonic-legend,22,76561199011646251,0.475,19.0,0.106,32.0,22.5,405.5,72.555,10.212,4.39,12.697,34.035,11.45,0.575,73.126,22.015,52.46,41.574,5.964,32.721,33.651,30.827,36.763,72.42,27.579,46.807,31.349,21.842,0.056,0.112
supersonic-legend,22,76561198366602557,0.871,55.0,0.585,20.833,27.547,449.3,115.406,11.751,4.462,10.336,34.139,9.807,0.657,72.939,25.545,56.59,36.438,6.971,32.965,33.844,37.484,30.022,74.346,25.653,49.429,30.009,20.56,0.262,0.248
supersonic-legend,22,76561199017852049,0.362,19.5,0.146,16.0,23.333,351.4,18.663,10.351,3.606,8.035,27.03,13.305,0.677,66.469,15.162,53.865,39.786,6.347,31.408,34.114,30.469,34.338,70.064,29.935,46.973,31.949,21.076,0.125,0.297
supersonic-legend,22,76561198980267292,0.537,26.666,0.402,40.833,30.5,426.0,71.86,14.443,4.155,12.113,36.702,10.907,0.728,67.386,16.743,50.253,41.987,7.758,31.569,35.079,37.545,29.653,69.99,30.009,49.073,29.843,21.082,0.108,0.199
supersonic-legend,22,76561198833095745,0.73,40.0,0.342,17.5,31.666,451.6,86.102,10.297,4.873,13.24,33.974,10.797,1.134,70.078,19.435,53.199,39.26,7.54,31.512,35.418,34.261,32.959,66.785,33.214,40.8,32.228,26.97,0.19,0.099
supersonic-legend,22,76561199122369761,0.665,57.5,0.451,15.0,26.666,439.9,61.444,12.142,4.142,10.15,36.011,9.858,0.885,66.343,15.28,59.098,34.999,5.901,34.661,29.512,33.62,32.069,68.39,31.609,44.253,32.99,22.755,0.263,0.1
supersonic-legend,22,76561198841392781,0.283,26.25,0.32,30.0,20.833,359.0,41.331,11.982,3.476,7.831,25.855,14.276,0.546,67.147,15.393,54.656,38.21,7.133,37.266,29.721,29.625,36.172,70.34,29.659,48.95,33.698,17.35,0.2,0.195
supersonic-legend,22,76561198293532512,0.727,49.444,0.379,20.555,40.261,363.4,45.604,13.544,3.914,8.358,26.796,11.068,0.638,67.852,15.091,55.018,37.984,6.997,35.664,30.71,32.709,35.443,75.277,24.722,47.278,34.268,18.452,0.291,0.216
supersonic-legend,22,76561198840443974,0.737,39.0,0.199,23.333,34.833,405.9,38.727,11.115,3.941,16.532,38.566,9.984,0.795,67.256,13.985,50.366,44.607,5.026,26.34,40.961,33.676,34.382,65.833,34.166,44.751,31.783,23.465,0.278,0.239
grand-champion-3,21,76561198119286574,0.974,54.166,0.341,12.5,38.19,442.7,43.047,12.629,4.368,10.916,36.383,14.081,0.973,70.66,18.75,46.557,45.481,7.96,35.054,31.964,32.895,33.199,70.849,29.15,45.043,32.767,22.188,0.068,0.253
grand-champion-3,21,76561198182081725,0.749,30.833,0.236,27.5,38.499,411.4,55.25,10.424,3.926,15.511,38.319,7.899,0.58,69.086,16.405,51.356,42.987,5.655,36.188,31.657,31.755,37.403,71.502,28.497,47.448,31.079,21.471,0.235,0.168
grand-champion-3,21,76561198256402757,0.512,15.0,0.188,48.333,17.666,404.3,47.619,8.834,3.847,18.858,41.742,10.956,0.841,67.369,14.866,46.813,44.748,8.437,29.116,35.279,34.314,29.505,67.866,32.133,42.686,32.635,24.677,0.108,0.088
grand-champion-3,21,76561198973071016,0.312,31.851,0.403,17.592,61.666,404.5,51.093,10.885,4.497,10.294,37.467,11.016,0.472,66.856,14.362,52.97,38.302,8.726,43.493,24.572,32.491,35.107,74.538,25.461,52.677,30.531,16.791,0.096,0.136
grand-champion-3,21,76561199034220966,0.761,48.518,0.355,15.555,54.309,409.8,64.317,11.872,4.717,12.038,32.88,17.91,1.125,71.456,21.291,53.611,38.545,7.843,30.712,37.261,35.544,33.069,65.484,34.515,46.862,30.085,23.051,0.274,0.222
grand-champion-3,21,1e7054842bd54f75b9c6ff3320ac8f30,0.382,19.629,0.15,35.185,47.499,318.0,29.35,9.756,3.461,10.811,29.513,9.233,0.77,63.878,9.678,60.198,34.158,5.643,27.371,37.044,31.252,32.862,64.349,35.65,42.935,35.01,22.053,0.152,0.332
grand-champion-3,21,4dacf92b044847ccbab7071e365a6940,0.836,35.833,0.257,14.166,23.333,295.0,24.394,8.143,2.344,5.655,48.458,5.592,0.197,67.413,8.687,54.799,40.786,4.413,34.315,30.444,37.582,28.215,76.132,23.867,47.619,30.316,22.064,0.08,0.26
