player_name,team,is_bot,score,goals,assists,saves,shots,boost_boost_usage,boost_num_small_boosts,boost_num_large_boosts,boost_wasted_collection,boost_wasted_usage,boost_time_full_boost,boost_time_low_boost,boost_time_no_boost,boost_num_stolen_boosts,boost_average_boost_level,boost_wasted_big,boost_wasted_small,distance_ball_hit_forward,distance_ball_hit_backward,distance_time_closest_to_ball,distance_time_furthest_from_ball,distance_time_close_to_ball,possession_possession_time,possession_turnovers,possession_turnovers_on_my_half,possession_won_turnovers,positional_tendencies_time_on_ground,positional_tendencies_time_low_in_air,positional_tendencies_time_high_in_air,positional_tendencies_time_in_defending_half,positional_tendencies_time_in_attacking_half,positional_tendencies_time_in_defending_third,positional_tendencies_time_in_neutral_third,positional_tendencies_time_in_attacking_third,positional_tendencies_time_behind_ball,positional_tendencies_time_in_front_ball,positional_tendencies_time_near_wall,positional_tendencies_time_in_corner,positional_tendencies_time_on_wall,averages_average_speed,averages_average_hit_distance,averages_average_distance_from_center,hit_counts_total_hits,hit_counts_total_passes,hit_counts_total_saves,hit_counts_total_shots,hit_counts_total_dribbles,hit_counts_total_dribble_conts,hit_counts_total_aerials,hit_counts_total_clears,controller_is_keyboard,controller_analogue_steering_input_percent,controller_analogue_throttle_input_percent,controller_time_ballcam,controller_time_handbrake,speed_time_at_slow_speed,speed_time_at_super_sonic,speed_time_at_boost_speed,relative_positioning_time_most_forward_player,relative_positioning_time_most_back_player,relative_positioning_time_between_players,per_possession_stats_average_duration,per_possession_stats_average_hits,per_possession_stats_count,kickoff_stats_total_kickoffs,kickoff_stats_num_time_cheat,kickoff_stats_num_time_go_to_ball,kickoff_stats_average_boost_used,demo_stats_num_demos_taken,possession_turnovers_on_their_half,kickoff_stats_num_time_first_touch,demo_stats_num_demos_inflicted
.,Orange,False,440,1,1,2,3,784.9247929158759,13,6,28.90625,0.0,7.517609119415283,50.04452896118164,24.615812301635742,1,34.734092712402344,28.90625,0.0,34116.57974720001,1178.06005859375,61.73043441772461,44.41559982299805,13.042197227478027,41.120149117,3,3,5,39.8961067199707,54.116329193115234,6.853752136230469,77.92855072021484,28.18251609802246,59.493125915527344,34.17014694213867,12.482759475708008,94.458984375,11.687050819396973,23.91655731201172,1.9930403232574463,23.91655731201172,13834.6552734375,2446.507080078125,1306.1895751953125,19,3.0,2.0,4.0,6,6,9,3.0,False,23.93463706970215,44.408843994140625,97.22982788085938,5.330760955810547,11.433744430541992,5.874728679656982,50.51542663574219,42.717586517333984,63.42844772338867,0.0,5.05539608001709,2.5999999046325684,5.0,3,2,1,70.66666412353516,1.0,0.0,0.0,0.0
?,Orange,False,314,2,1,0,2,950.0645973940543,26,6,53.984375,4.313725471496582,5.944204807281494,48.680686950683594,25.043928146362305,1,38.14664840698242,44.921875,9.0625,5167.710066795349,3976.84952545166,47.42264938354492,64.73748779296875,8.70694637298584,18.645248163999998,4,2,3,54.756309509277344,43.35806655883789,5.804316997528076,80.55094146728516,28.60214614868164,52.718284606933594,35.70001983642578,20.73478126525879,72.78878021240234,36.36430740356445,16.35398292541504,2.1328985691070557,16.35398292541504,14791.1142578125,1624.1566162109375,1270.1971435546875,10,3.0,0.0,2.0,1,1,3,0.0,False,42.74271011352539,41.84556198120117,101.32080078125,21.923948287963867,10.917824745178223,18.81165313720703,59.80744934082031,66.43550109863281,45.72463607788086,-3.0070533752441406,0.0,0.0,0.0,3,1,2,19.66666603088379,0.0,1.0,1.0,0.0
KLF7R-_-,Blue,False,115,0,0,1,1,999.6172880961414,15,9,107.03125,1.9607843160629272,11.652170181274414,37.203487396240234,18.04228973388672,1,43.615230560302734,107.03125,0.0,14472.729801654816,4991.180021762848,56.89833450317383,52.324684143066406,12.763065338134766,20.140244558000003,6,2,5,50.57638931274414,42.833621978759766,7.377777576446533,58.88241195678711,50.27067565917969,32.86793518066406,43.61125946044922,32.673892974853516,74.66080474853516,34.49228286743164,19.58945083618164,1.1888304948806763,19.58945083618164,15111.9638671875,2218.04248046875,1550.0169677734375,14,2.0,2.0,0.0,3,3,5,0.0,False,40.88433074951172,59.596282958984375,97.71929168701172,6.433806419372559,10.629584312438965,15.804986000061035,61.41629409790039,54.04651641845703,55.03664016723633,0.06992721557617188,3.4840946197509766,2.3333332538604736,3.0,3,1,2,14.666666984558105,0.0,2.0,1.0,1.0
z,Blue,False,157,0,0,1,3,1041.524189044908,17,8,24.0625,8.627450942993164,8.007336616516113,49.011966705322266,18.417009353637695,2,40.52572250366211,15.625,8.4375,19789.32041168213,86.43994140625,52.25475311279297,56.828399658203125,12.7785005569458,20.280151857,2,1,2,47.28966522216797,53.54154968261719,3.181912899017334,52.80686569213867,56.346221923828125,36.50434875488281,37.92729949951172,34.721435546875,65.2895278930664,43.86355972290039,22.937511444091797,1.6783448457717896,22.937511444091797,16953.78515625,2209.2880859375,1550.0169677734375,13,0.0,1.0,3.0,3,3,5,2.0,False,78.56455993652344,62.76834487915039,91.08627319335938,13.400911331176758,6.36374568939209,26.205766677856445,75.48094177246094,55.106571197509766,54.11644744873047,-0.06993484497070312,3.7540323734283447,2.6666667461395264,3.0,3,2,1,70.66666412353516,0.0,1.0,1.0,0.0
