index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
92,grand-champion-1,19,7.66E+16,0.42,20.185,0.159,37.407,26.666,327.9,23.019,14.9,2.759,8.033,28.645,8.689,0.3,62.591,7.584,56.644,38.928,4.426,34.456,33.658,32.924,35.735,71.665,28.334,46.585,33.447,19.967,0.12,0.14,playmaker
93,grand-champion-1,19,ef5f6124076f4384b257e1359363ea91,0.67,47.0,0.373,24.833,37.333,385.7,32.108,8.995,4.006,13.234,32.067,10.362,0.607,63.095,9.929,59.269,35.079,5.65,42.424,25.503,33.081,34.54,80.768,19.231,54.252,29.568,16.179,0.137,0.191,defender
94,grand-champion-1,19,7.66E+16,0.57,31.166,0.193,30.333,27.666,362.6,45.848,11.464,3.678,7.424,27.785,18.327,0.802,63.934,10.225,61.411,32.376,6.211,29.533,38.894,34.123,36.108,69.73,30.269,44.251,34.301,21.447,0.177,0.196,playmaker
95,grand-champion-1,19,049b6ce3b0674ef9a817d3199ba6a285,0.356,34.444,0.193,26.296,37.5,363.3,44.734,10.665,3.128,15.518,37.623,7.944,0.698,64.643,10.671,61.593,36.43,1.975,28.285,36.471,31.95,32.017,70.068,29.931,48.092,32.578,19.328,0.259,0.199,enforcer
96,grand-champion-1,19,c15f18dad47541f0abfa928e150fd5a8,0.695,51.111,0.354,5.925,37.666,395.8,52.195,8.54,4.151,9.379,25.632,20.686,0.501,64.03,11.232,59.131,35.79,5.078,40.737,28.651,37.892,30.834,79.473,20.526,54.22,28.411,17.367,0.167,0.253,defender
98,grand-champion-1,19,7.66E+16,0.451,27.777,0.266,25.0,28.333,469.1,81.384,9.341,4.934,16.26,37.776,12.752,1.145,70.36,19.346,49.389,44.102,6.507,28.965,41.247,32.548,36.733,65.196,34.803,43.391,32.647,23.961,0.295,0.156,enforcer
99,grand-champion-1,19,7.66E+16,0.428,50.666,0.202,28.666,48.333,367.7,71.39,14.623,3.274,5.113,23.189,13.389,0.472,68.321,15.858,60.317,34.028,5.653,34.333,31.803,31.347,34.018,72.936,27.063,46.935,33.18,19.884,0.113,0.245,striker
100,grand-champion-1,19,7.66E+16,0.576,35.666,0.167,16.666,38.999,462.8,76.678,13.703,4.432,16.26,38.37,7.735,0.646,68.652,18.025,53.823,40.279,5.897,29.831,34.049,37.009,28.267,69.31,30.689,44.88,30.99,24.128,0.203,0.159,ball_chaser
101,grand-champion-1,19,0501888a5f8f47faa074e40cefe750e3,0.565,22.5,0.173,45.0,21.166,349.3,29.684,13.844,3.206,7.861,26.978,12.82,0.645,64.352,8.267,59.22,35.377,5.401,37.859,30.265,31.454,35.814,74.804,25.195,45.85,33.309,20.84,0.206,0.126,playmaker
103,grand-champion-1,19,7.66E+16,0.727,40.833,0.193,27.5,30.714,396.1,46.199,13.462,3.907,7.052,29.153,12.878,0.762,67.039,13.837,58.296,35.604,6.098,33.483,31.525,34.129,32.314,72.874,27.125,44.717,34.992,20.289,0.197,0.115,striker
104,grand-champion-1,19,93b2f433f8b842289f815db2332f1733,0.455,41.666,0.053,25.0,35.666,354.1,48.505,11.853,3.216,9.301,30.025,11.556,0.614,67.986,16.055,59.967,36.542,3.489,34.848,32.152,33.587,31.117,72.992,27.007,46.303,33.863,19.832,0.06,0.227,striker
105,grand-champion-1,19,5dfec608e2534f57987a0f5a1eb79e34,0.594,54.444,0.201,40.555,43.666,395.8,48.776,12.219,4.236,7.557,24.334,9.633,0.902,66.3,13.235,56.539,38.094,5.365,30.224,39.927,33.773,35.592,66.169,33.83,45.026,31.279,23.694,0.295,0.185,enforcer
