index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
441,gold-2,8,7.66E+16,0.26,13.888,0.04,25.925,20,274.3,0.46,61.16,8.293,64.005,2.131,39.836,32.587,29.862,40.484,72.692,27.307,54.446,17.63,0.22,
442,gold-2,8,531e1a0800000900,0.279,29.375,0.16,16.041,45,241.1,0.459,57.104,5.028,69.528,1.435,35.855,36.692,30.517,41.569,69.505,30.494,49.244,23.024,0.02,
443,gold-2,8,462f6d87467f4626b7ea2c8d6951a7fe,0.297,35.166,0.14,13.666,48.333,472.6,1.286,67.626,16.903,50.967,1.223,32.029,37.285,31.03,36.964,73.617,26.382,41.693,27.958,0.393,
444,gold-2,8,3d1cef70f3010900,0.282,26.785,0.184,23.75,41,324.3,0.318,64.93,10.868,54.872,3.414,30.154,39.234,37.605,32.156,67.465,32.534,51.159,22.781,0.16,
445,gold-2,8,154e3070251349d193ae6e5a8ff0f20f,0.256,12.833,0.04,13.5,24.999,195.1,0.28,58.565,3.919,68.57,1.392,25.211,37.06,35.907,26.346,68.751,31.248,40.498,27.075,0.04,
446,gold-2,8,7.66E+16,0.992,51.738,0.198,29.761,37.999,372.5,0.678,62.278,8.383,62.087,2.344,37.918,34.552,38.989,33.353,76.821,23.178,47.126,24.183,0.158,
447,gold-2,8,f54d5088a1e0482d9baa5b3b0e2ce846,0.478,32.928,0.06,9.5,37.499,304.7,0.751,59.095,5.261,75.219,1.704,37.913,28.949,26.643,40.517,74.21,25.789,44.979,20.358,0.158,
448,gold-2,8,15a1bd239f9a40189cc48e52d6b5578e,0.492,39.38,0.275,27,33.333,260.1,0.317,56.96,4.884,65.956,2.078,39.728,34.76,32.526,40.219,74.799,25.2,49.485,22.949,0.155,
449,gold-2,8,6b84af0abdb94f59b3f5e7585f455b2d,0.31,20,0.2,25,25,165.8,0.16,52.313,3.921,71.958,1.564,56.855,29.965,32.736,51.54,82.558,17.441,63.88,11.039,0.02,
450,gold-2,8,ab0cddb9998c4b579b2c91d0510cbfb9,0.504,47.333,0.146,6,41.666,223.1,0.375,55.73,3.6,67.946,1.569,35.84,33.08,29.42,38.815,74.989,25.01,49.013,18.763,0.077,
