index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
244,diamond-3,15,fc213e4e47394beca4ce8acce6c43552,0.635,66.666,0.279,29.166,33.095,434.5,77.195,8.192,5.154,17.897,35.871,18.708,1.092,62.934,12.546,62.447,35.082,2.47,50.918,50.305,46.63,54.594,69.724,30.275,52.85,26.32,20.829,0.207,0.127,enforcer
245,diamond-3,15,7.66E+16,0.658,63.666,0.458,14.833,55.833,246.6,7.57,8.64,2.992,8.705,16.981,21.563,0.499,60.195,4.993,59.299,38.005,2.694,58.698,40.852,49.196,50.348,77.168,22.831,52.049,32.275,15.674,0.06,0.078,defender
246,diamond-3,15,7.66E+16,0.56,36.333,0.157,37.666,34.666,244.6,28.464,10.219,2.592,6.01,18.074,17.737,0.718,58.1,4.796,65.026,32.272,2.701,41.198,57.93,49.58,49.554,67.313,32.686,45.454,31.949,22.595,0.039,0.159,enforcer
247,diamond-3,15,b75d72dfff010900,0.642,53.0,0.215,20.0,63.666,403.6,76.337,8.012,4.158,15.737,34.953,11.795,0.668,64.539,14.312,58.814,37.937,3.248,43.453,57.658,50.898,50.232,67.471,32.528,43.05,31.902,25.047,0.131,0.162,enforcer
248,diamond-3,15,************,0.691,39.0,0.199,44.0,30.19,339.6,47.673,9.316,3.607,10.095,28.155,11.067,0.502,62.821,10.603,61.328,35.877,2.794,48.818,52.399,50.047,51.206,72.103,27.896,45.504,31.75,22.744,0.199,0.155,playmaker
249,diamond-3,15,3fcf3edfed374cf0a5b0ba2511e64c63,0.904,61.714,0.229,11.857,38.13,261.1,20.134,10.651,2.784,4.089,19.107,15.388,0.586,62.447,8.031,61.835,36.125,2.038,51.769,49.408,47.231,53.947,74.85,25.149,47.302,31.123,21.574,0.115,0.211,striker
251,diamond-3,15,08534d4c8323411da4a63513479af085,0.705,53.835,0.295,16.798,35.416,372.5,33.068,8.408,4.01,10.263,25.287,20.959,0.761,65.499,11.75,53.912,40.571,5.516,47.513,53.126,53.707,46.954,72.589,27.41,46.941,29.126,23.932,0.055,0.15,freestyler
252,diamond-3,15,7.66E+16,0.645,52.833,0.283,28.833,54.999,306.3,29.74,9.397,3.128,9.976,30.036,10.354,0.643,62.999,6.747,58.685,38.064,3.25,47.151,52.89,53.931,46.116,71.182,28.817,45.457,30.767,23.774,0.192,0.098,ball_chaser
253,diamond-3,15,7.66E+16,0.914,64.0,0.334,27.333,30.38,312.1,22.99,14.158,2.394,8.543,34.676,7.878,0.52,61.808,7.139,61.203,35.549,3.247,55.263,51.372,55.321,51.27,75.737,24.262,48.317,30.854,20.828,0.058,0.196,ball_chaser
254,diamond-3,15,729a1ff93b7449bcbb1e6cb838aa29c8,0.487,37.354,0.18,26.031,43.0,382.4,42.762,11.397,4.082,12.452,31.748,8.868,1.067,64.33,10.542,52.044,43.794,4.161,45.068,55.882,54.891,46.079,69.027,30.972,44.417,30.744,24.837,0.077,0.14,ball_chaser
255,diamond-3,15,ae7803a9f2010900,0.89,43.5,0.417,37.0,29.202,400.4,87.458,11.811,4.131,11.905,32.644,12.262,0.697,65.982,13.691,63.86,34.245,1.894,54.498,45.569,45.762,54.29,76.021,23.978,46.654,31.142,22.202,0.158,0.26,defender
257,diamond-3,15,4e96cca568ca48e6bdb07644b6efafe3,0.78,68.518,0.3,12.962,39.857,369.2,28.6,9.899,4.52,8.559,22.53,21.458,0.98,66.208,15.902,52.8,40.744,6.455,55.444,49.849,53.536,51.762,75.017,24.982,48.753,29.564,21.681,0.199,0.22,freestyler
258,diamond-3,15,7.66E+16,0.657,28.333,0.335,40.833,29.999,505.7,93.073,11.87,5.065,17.408,40.361,7.538,0.913,68.852,17.536,59.005,37.07,3.924,55.213,48.714,50.25,53.849,75.756,24.243,50.257,29.927,19.815,0.12,0.058,defender
259,diamond-3,15,e9c66a33fa010900,0.78,70.0,0.28,10.0,39.999,397.8,73.299,8.219,4.88,11.674,28.7,18.036,0.68,63.013,9.392,64.744,30.062,5.193,55.154,51.914,54.151,52.94,73.546,26.453,51.417,28.439,20.142,0.14,0.2,freestyler
260,diamond-3,15,f7ac123c4c8547fda638691a15d1a5aa,0.532,45.833,0.358,18.666,36.833,418.5,68.041,12.972,4.101,13.534,35.056,10.96,0.492,62.526,12.528,56.641,39.468,3.89,52.449,56.062,54.663,53.831,72.235,27.764,53.234,29.092,17.673,0.198,0.16,defender
261,diamond-3,15,7.66E+16,0.447,35.952,0.42,25.0,50.166,279.2,33.617,9.426,2.7,10.352,30.264,14.232,0.427,57.178,6.302,69.03,30.096,0.872,54.681,45.825,47.858,52.596,74.938,25.061,55.46,28.207,16.331,0.131,0.117,defender
262,diamond-3,15,7.66E+16,0.822,48.333,0.193,37.499,29.011,413.1,59.246,13.796,4.006,14.736,30.225,11.32,1.054,64.956,13.392,56.721,39.316,3.962,48.189,52.559,50.502,50.218,70.45,29.549,43.753,30.922,25.324,0.158,0.159,enforcer
263,diamond-3,15,6328c125900d45c98eb4f88ac3a31241,0.84,69.222,0.3,13.111,47.333,388.0,76.78,8.7,4.3,9.063,25.936,16.972,0.62,63.582,10.306,59.019,34.801,6.178,48.845,53.592,55.362,47.076,72.193,27.806,48.798,31.161,20.039,0.18,0.06,freestyler
264,diamond-3,15,7.66E+16,0.711,41.666,0.203,24.833,46.833,434.8,50.51,9.428,4.387,17.583,35.394,9.13,0.892,65.586,13.202,54.607,40.966,4.426,48.038,52.35,51.68,48.718,74.865,25.134,46.557,29.883,23.559,0.15,0.12,freestyler
266,diamond-3,15,7.66E+16,0.705,57.0,0.115,9.833,44.999,359.8,39.719,8.842,3.843,9.869,26.965,15.468,0.635,62.039,9.579,59.768,36.519,3.712,47.049,52.848,47.656,52.208,69.453,30.546,45.156,29.082,25.761,0.101,0.131,striker
267,diamond-3,15,7dbc88ad84274bbf86143ead4a479f1b,0.685,53.523,0.319,25.095,33.357,406.7,72.176,15.393,3.712,14.545,38.84,10.132,0.578,64.526,11.017,64.945,32.762,2.291,50.557,49.42,48.352,51.607,72.863,27.136,45.57,32.687,21.742,0.253,0.116,enforcer
268,diamond-3,15,7.66E+16,0.873,60.0,0.263,24.166,32.499,305.1,19.59,9.377,2.818,8.539,22.79,12.044,0.41,62.16,7.194,57.569,38.857,3.572,50.7,48.965,47.858,51.801,72.679,27.32,47.978,32.037,19.984,0.08,0.129,striker
269,diamond-3,15,ba944b9e480141cb984563df78ce7fe5,0.938,59.761,0.333,29.047,38.214,379.4,38.578,9.859,4.111,9.575,27.485,14.006,0.898,64.952,12.853,57.939,38.21,3.85,49.789,51.424,49.553,51.661,74.663,25.336,46.976,30.187,22.835,0.116,0.08,striker
270,diamond-3,15,6d1eca4f3fd24485af7f290d5ae262db,0.7,58.333,0.36,8.333,48.666,289.7,69.48,9.36,2.499,10.205,29.563,12.179,0.42,61.808,8.91,60.855,35.605,3.538,53.959,45.719,50.51,49.197,73.502,26.497,48.201,31.377,20.42,0.28,0.08,defender
271,champion-1,16,7.66E+16,0.84,44.5,0.44,22.333,34.333,446.3,79.38,8.919,4.64,16.057,34.439,7.045,0.639,66.834,14.285,57.548,38.498,3.953,50.038,49.88,51.063,48.805,72.286,27.713,48.543,31.503,19.952,0.06,0.259,defender
272,champion-1,16,7.66E+16,0.772,59.259,0.336,14.814,44.999,419.4,45.327,10.68,4.21,16.265,40.416,8.417,0.597,65.03,13.799,58.155,37.652,4.191,50.304,53.366,49.393,54.214,69.483,30.516,51.113,30.004,18.882,0.271,0.172,enforcer
273,champion-1,16,temp-*********,0.619,29.973,0.28,35.952,29.619,367.4,43.74,9.4,3.68,11.268,29.674,11.202,0.7,62.956,10.722,61.999,35.107,2.893,52.214,47.878,48.047,52.05,75.153,24.846,48.981,31.472,19.546,0.22,0.18,playmaker
274,champion-1,16,0b3eb6081c564da6bd473bef69d4d2b0,0.69,30.333,0.442,51.0,14.999,332.3,24.71,9.534,3.495,10.277,27.19,15.767,0.518,63.169,11.67,56.913,38.896,4.189,53.938,47.273,48.406,52.804,75.598,24.401,43.716,33.511,22.771,0.116,0.33,playmaker
